,ds,ds,y,yhat,diff
120,2017-03-01,2017-03-01,10834.0,13223.576554905423,2389.576554905423
121,2017-03-02,2017-03-02,13838.0,11706.5978570595,-2131.4021429405
122,2017-03-03,2017-03-03,12915.0,11800.767449559798,-1114.2325504402015
123,2017-03-04,2017-03-04,13531.0,11431.73930763764,-2099.2606923623607
124,2017-03-05,2017-03-05,12496.0,11273.493214617092,-1222.5067853829078
125,2017-03-06,2017-03-06,9393.0,10302.019844902647,909.0198449026466
126,2017-03-07,2017-03-07,9084.0,8136.284027044267,-947.7159729557334
127,2017-03-08,2017-03-08,14265.0,14042.739875881765,-222.26012411823467
128,2017-03-09,2017-03-09,13702.0,13061.567920025815,-640.4320799741854
129,2017-03-10,2017-03-10,12943.0,12242.857884946148,-700.1421150538517
130,2017-03-11,2017-03-11,11098.0,12362.241160526946,1264.2411605269463
131,2017-03-12,2017-03-12,10840.0,11842.75697627436,1002.7569762743606
132,2017-03-13,2017-03-13,7478.0,12144.468335676735,4666.468335676735
133,2017-03-14,2017-03-14,7276.0,9342.02809102133,2066.0280910213296
134,2017-03-15,2017-03-15,13351.0,12665.997204737967,-685.002795262033
135,2017-03-16,2017-03-16,14606.0,12767.736512891473,-1838.2634871085265
136,2017-03-17,2017-03-17,14338.0,10972.101949589814,-3365.8980504101855
137,2017-03-18,2017-03-18,13041.0,10399.862297820962,-2641.1377021790377
138,2017-03-19,2017-03-19,11766.0,10725.199337508442,-1040.800662491558
139,2017-03-20,2017-03-20,9103.0,10527.759262410182,1424.7592624101817
140,2017-03-21,2017-03-21,9843.0,11015.039134467024,1172.0391344670243
141,2017-03-22,2017-03-22,14024.0,14619.706551689469,595.706551689469
142,2017-03-23,2017-03-23,13034.0,11997.928738781573,-1036.071261218427
143,2017-03-24,2017-03-24,10174.0,12097.120307157846,1923.1203071578457
144,2017-03-25,2017-03-25,12215.0,11841.403679801086,-373.5963201989143
145,2017-03-26,2017-03-26,11732.0,11149.093083042242,-582.9069169577579
146,2017-03-27,2017-03-27,9654.0,10646.313036476286,992.3130364762856
147,2017-03-28,2017-03-28,8827.0,9878.0308115103,1051.0308115102998
148,2017-03-29,2017-03-29,13065.0,13180.44857217462,115.4485721746205
149,2017-03-30,2017-03-30,12201.0,10459.441431238782,-1741.5585687612183
150,2017-03-31,2017-03-31,11981.0,11323.323386035434,-657.6766139645661
151,2017-04-01,2017-04-01,11832.0,12398.372833359115,566.3728333591152
152,,2017-04-02,,13101.186362377186,
153,,2017-04-03,,14109.684601003151,
154,,2017-04-04,,13776.868678462655,
155,,2017-04-05,,18091.758306906246,
156,,2017-04-06,,15598.863024164026,
157,,2017-04-07,,17101.6367353117,
158,,2017-04-08,,19567.49666935404,
159,,2017-04-09,,18649.254593392918,
160,,2017-04-10,,18442.722191377805,
161,,2017-04-11,,16743.65952608422,
162,,2017-04-12,,19671.272664267268,
163,,2017-04-13,,16734.69080308465,
164,,2017-04-14,,14145.961004678622,
165,,2017-04-15,,14713.330957421786,
166,,2017-04-16,,13610.116506964316,
